Source,Scraped,Headline,Link
SMH,2020/01/01,PNG documents secret despite 'transparency' commitment,https://www.smh.com.au/politics/federal/png-documents-secret-despite-transparency-commitment-20191217-p53kv7.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/01,Howard cabinet debated film's merits as viewers stayed away,https://www.smh.com.au/politics/federal/howard-cabinet-debated-film-s-merits-as-viewers-stayed-away-20191217-p53kv1.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/01,"Tax reform supporters 'not real', says Costello",https://www.smh.com.au/politics/federal/tax-reform-supporters-not-real-says-costello-20191217-p53kn2.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/01,'Once in a generation': Costello detects no real public demand for Australian republic,https://www.smh.com.au/politics/federal/once-in-a-generation-costello-detects-no-real-public-demand-for-australian-republic-20191216-p53ke3.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
Sky News,2020/01/01,Pauline Hanson launches 'lonely hearts' hotline on NYE,https://www.skynews.com.au/details/_6118856423001
Sky News,2020/01/01,Morrison ‘heartbroken’ by firefighter’s death,https://www.skynews.com.au/details/_6118919123001
Sky News,2020/01/01,Albanese calls on govt to use every resource available to address bushfire crisis ,https://www.skynews.com.au/details/_6118920775001
Sky News,2020/01/01,Angus Taylor warns UN climate pressure will fail,https://www.skynews.com.au/details/_6118868339001
Ten,2020/01/01,Sydney's Lord Mayor Issues Scathing Attack On 'Failed' Minister Ahead Of NYE Fireworks,https://10daily.com.au/news/australia/a191231lpmgi/sydneys-lord-mayor-issues-scathing-attack-on-failed-minister-ahead-of-nye-fireworks-20191231
Ten,2020/01/01,Tragic Find For Mum After Husband And Son Stayed To Defend Their Home From NSW Bushfires,https://10daily.com.au/news/australia/a191231egvop/two-dead-one-missing-as-horror-bushfires-continue-to-burn-in-nsw-20191231
Ten,2020/01/01,'Our Prayers Were Answered': Mogo Zoo And Animals Saved From Inferno,https://10daily.com.au/news/australia/a191231qvlsf/mogo-zoo-races-to-protect-animals-as-bushfire-approaches-20191231
Ten,2020/01/01,Expectant Father Identified As RFS Firefighter Killed Battling NSW Blazes,https://10daily.com.au/news/australia/a191230kxunq/rfs-identify-volunteer-firefighter-killed-battling-nsw-blazes-20191230
Ten,2020/01/01,"Three Missing, Feared Dead In NSW South Coast Fires",https://10daily.com.au/news/australia/a191230rgjbm/crews-prepare-for-extreme-fire-danger-in-nsw-20191230
Ten,2020/01/01,"Volunteer Firefighter Killed, Three Injured After Truck Rolls In Extreme Winds",https://10daily.com.au/news/australia/a191230xytfc/volunteer-firefighter-killed-two-injured-after-truck-rolls-in-extreme-winds-20191230
Ten,2020/01/01,This Is What The Weather Will Look Like At Your Place On New Year's Eve,https://10daily.com.au/news/australia/a191229uiknw/this-is-what-the-weather-will-look-like-at-your-place-on-new-years-eve-20191230
ABC,2020/01/01,Here's how Australians are marking New Year's Eve across the country,https://www.abc.net.au/news/2019-12-31/how-australia-is-celebrating-new-years-eve/11833138
SMH,2020/01/02,"Scott Morrison, here's what you should do in 2020 to show leadership",https://www.smh.com.au/politics/federal/scott-morrison-here-s-what-you-should-do-in-2020-to-show-leadership-20200101-p53o15.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,'It can be more controversial': Costello warns on constitutional recognition for Indigenous Australians,https://www.smh.com.au/politics/federal/it-can-be-more-controversial-costello-warns-on-constitutional-recognition-for-indigenous-australians-20191216-p53kdy.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,Howard government resisted taking 1500 East Timorese 'at gravest risk',https://www.smh.com.au/politics/federal/howard-government-resisted-taking-1500-east-timorese-at-gravest-risk-20191219-p53lh2.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,Downer feared Australia seen as too close to Israel ahead of key visit,https://www.smh.com.au/politics/federal/downer-feared-australia-seen-as-too-close-to-israel-ahead-of-key-visit-20191218-p53l6s.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/01,Choppers arrive in Victoria while Navy ships set sail from Sydney,https://www.smh.com.au/politics/federal/choppers-arrive-in-victoria-while-navy-ships-set-sail-from-sydney-20200101-p53o52.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/01,'Starvation event' shows wildlife may need human help to survive,https://www.smh.com.au/politics/federal/starvation-event-shows-wildlife-may-need-human-help-to-survive-20200101-p53o3t.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
New Daily,2020/01/01,UK hits renewable energy milestone as royals announce new prize,https://thenewdaily.com.au/news/national/2020/01/01/prince-william-earthshot-climate/
