Source,Scraped,Headline,Link
SMH,2020/01/01,How Labor can win government again,https://www.smh.com.au/national/how-labor-can-win-government-again-20191231-p53nuc.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/01,Helpless as parched gardens and trees killed by drought,https://www.smh.com.au/national/nsw/helpless-as-parched-gardens-and-trees-killed-by-drought-20191231-p53nsy.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/01,"In the Herald: January 1, 1957",https://www.smh.com.au/national/nsw/in-the-herald-january-1-1957-20191223-p53mk3.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/02,Apocalypse now the time to accept climate change,https://www.smh.com.au/national/nsw/apocalypse-now-the-time-to-accept-climate-change-20200101-p53o0v.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/02,"In the Herald: January 2, 1966",https://www.smh.com.au/national/nsw/in-the-herald-january-2-1966-20191223-p53mio.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/01,Burglary at a Pimpernel level,https://www.smh.com.au/national/nsw/burglary-at-a-pimpernel-level-20200101-p53o1b.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/01,"Government-approved bushfire bunkers could help protect homes, lives",https://www.smh.com.au/national/government-approved-bushfire-bunkers-could-help-protect-homes-lives-20200101-p53o0m.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/01,2020 will be a year when our vision is tested,https://www.smh.com.au/national/2020-will-be-a-year-when-our-vision-is-tested-20200101-p53o4d.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/01,"Climate change ground zero: How to fire, drought or heat-proof your garden or property",https://www.smh.com.au/national/western-australia/climate-change-ground-zero-how-to-fire-drought-or-heat-proof-your-garden-or-property-20191231-p53nys.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
ABC,2020/01/02,Why is swearing still illegal when most of us do it?,https://www.abc.net.au/news/2020-01-02/swearing-in-public-is-illegal-unlikely-to-be-charged-if-white/11815572
The Guardian,2020/01/01,Australia is becoming a nation of dread – and the world looks on with pity and scorn | David Marr,https://www.theguardian.com/commentisfree/2020/jan/01/australia-is-becoming-a-nation-of-dread-and-the-world-looks-on-with-pity-and-scorn
The Guardian,2020/01/01,We know this disaster is unprecedented – no amount of Scott Morrison spin can hide it | Lenore Taylor,https://www.theguardian.com/commentisfree/2020/jan/01/we-know-this-disaster-is-unprecedented-no-amount-of-scott-morrison-spin-can-hide-it
Inside Story,2020/01/02,Slow burn,https://insidestory.org.au/slow-burn
SMH,2020/01/03,'Morrison is losing skin': PM too passive in the face of national crisis,https://www.smh.com.au/national/morrison-is-losing-skin-pm-too-passive-in-the-face-of-national-crisis-20200102-p53odj.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/03,Hewson's plan beats slogans that fan flames of discontent,https://www.smh.com.au/national/nsw/hewson-s-plan-beats-slogans-that-fan-flames-of-discontent-20200102-p53o95.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/03,"From the ashes, can we get real on climate change?",https://www.smh.com.au/national/from-the-ashes-can-we-get-real-on-climate-change-20200101-p53o6i.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/03,Time to ditch Australia's greatest summer fashion staple,https://www.smh.com.au/national/time-to-ditch-australia-s-greatest-summer-fashion-staple-20200101-p53o6d.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/03,People are dying: it's time for a new approach to stop domestic violence,https://www.smh.com.au/national/people-are-dying-it-s-time-for-a-new-approach-to-stop-domestic-violence-20191231-p53nwd.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
SMH,2020/01/03,"In the Herald: January 3, 1989",https://www.smh.com.au/national/nsw/in-the-herald-january-3-1989-20191223-p53mis.html?ref=rss&utm_medium=rss&utm_source=rss_opinion
