Source,Scraped,Headline,Link
The Island,2020-01-01,New CSE mobile app offers investors greater access to market  information,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216293
The Island,2020-01-01,ASPI dips; moderate turnover,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216295
The Island,2020-01-01,Meeting of targets on Average Weighted Prime Lending Rate for  end 2019,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216297
The Island,2020-01-01,Sarvodaya Development Finance and MegaPay partnership to offer  Pay&Go doorstep service to Sarvodaya customers,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216301
The Island,2020-01-01,CIPM Sri Lanka upgrades children’s park,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216294
The Island,2020-01-01,Pan Asia Bank and LOLC Life Assurance to offer bancassurance,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216296
The Island,2020-01-01,HNB signs on as Preferred Banker for CR&FC for third consecutive  year,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216298
The Island,2020-01-01,TVS Motor Company launches TVS NTORQ 125 Race Edition in Sri  Lanka,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216300
The Island,2020-01-01,Spotlight on young talent through Siddhalepa Kekulu Art  Competition,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216302
Daily FT,2020-01-01,Plastics and Rubber Institute signs MOU with Singaporean counterpart,http://www.ft.lk/business/Plastics-and-Rubber-Institute-signs-MOU-with-Singaporean-counterpart/34-692761
Daily FT,2020-01-01,High Court restrains auctioning Ward City Shopping Complex,http://www.ft.lk/business/High-Court-restrains-auctioning-Ward-City-Shopping-Complex/34-692762
Daily FT,2020-01-01,Maliban sets international record for overall performance,http://www.ft.lk/business/Maliban-sets-international-record-for-overall-performance/34-692763
Daily FT,2020-01-01,Teejay Lanka promotes Pubudu as new CEO,http://www.ft.lk/business/Teejay-Lanka-promotes-Pubudu-as-new-CEO/34-692766
Daily FT,2020-01-02,Govt. suspends ethanol imports,http://www.ft.lk/business/Govt-suspends-ethanol-imports/34-692856
Daily FT,2020-01-02,LAUGFS Rubber unveils largest tyre manufactured in Sri Lanka,http://www.ft.lk/business/LAUGFS-Rubber-unveils-largest-tyre-manufactured-in-Sri-Lanka/34-692857
Daily FT,2020-01-02,CBH Lands encourages real estate investment,http://www.ft.lk/business/CBH-Lands-encourages-real-estate-investment/34-692848
Daily FT,2020-01-02,China’s central bank says economic growth resilient despite large pressure,http://www.ft.lk/business/China-s-central-bank-says-economic-growth-resilient-despite-large-pressure/34-692799
Daily FT,2020-01-02,"China cuts banks’ reserve ratios again, frees up $ 115 b to spur economy",http://www.ft.lk/business/China-cuts-banks-reserve-ratios-again-frees-up-115-b-to-spur-economy/34-692800
Daily FT,2020-01-02,Britain says will raise minimum wage by more than 6% in 2020,http://www.ft.lk/business/Britain-says-will-raise-minimum-wage-by-more-than-6-in-2020/34-692797
Daily FT,2020-01-02,Saudi economy contracts 0.46% in Q3 as oil output slumps,http://www.ft.lk/business/Saudi-economy-contracts-0-46-in-Q3-as-oil-output-slumps/34-692798
Daily FT,2020-01-02,"Israel economic growth slows to 3.3%, weakest since 2015",http://www.ft.lk/business/Israel-economic-growth-slows-to-3-3-weakest-since-2015/34-692796
Daily FT,2020-01-02,EU seeks reset in trade talks with US,http://www.ft.lk/business/EU-seeks-reset-in-trade-talks-with-US/34-692794
Daily FT,2020-01-02,Singapore Q4 GDP growth seen picking up slightly on services boost,http://www.ft.lk/business/Singapore-Q4-GDP-growth-seen-picking-up-slightly-on-services-boost/34-692795
