Source,Scraped,Headline,Link
The Island,2020-01-01,Nothing wrong in giving Sampanthan official house - Range  Bandara,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216329
The Island,2020-01-01,Army Commander appointed CDS,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216331
The Island,2020-01-01,Former SLPC Chairman Rumi arrested,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216323
The Island,2020-01-01,Army nabs man with Rs. 10 mn worth of heroin,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216324
The Island,2020-01-01,Fair weather today in some districts,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216326
The Island,2020-01-01,"Parliamentary, PC polls in April/May",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216330
The Island,2020-01-01,Govt. to promote wind and solar power,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216322
The Island,2020-01-01,"Govt party leaders, MPs to meet President, PM tomorrow",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216333
Republic Next,2020-01-01,Sri Lanka to build 300 university colleges for higher education: Minister,https://www.republicnext.com/politics/sri-lanka-to-build-300-university-colleges-for-higher-education-minister/
Daily FT,2020-01-01,Private Member’s Bill to bring Defence Ministry under President,http://www.ft.lk/top-story/Private-Member-s-Bill-to-bring-Defence-Ministry-under-President/26-692772
Daily FT,2020-01-01,Barter deal with Iran for Ceylon Tea still on: Molligoda ,http://www.ft.lk/front-page/Barter-deal-with-Iran-for-Ceylon-Tea-still-on-Molligoda/44-692780
Daily FT,2020-01-01,Switzerland seeks swift return to positive cooperation with SL post tension over employee ,http://www.ft.lk/front-page/Switzerland-seeks-swift-return-to-positive-cooperation-with-SL-post-tension-over-employee/44-692778
Daily FT,2020-01-01,Sampath Bank says fully compliant with CBSL requirements ,http://www.ft.lk/front-page/Sampath-Bank-says-fully-compliant-with-CBSL-requirements/44-692776
Daily FT,2020-01-01,Bourse ends 2019 final day down but up 1.3% for the year ,http://www.ft.lk/front-page/Bourse-ends-2019-final-day-down-but-up-1-3-for-the-year/44-692774
Daily FT,2020-01-01,Swiss authorities welcome release of embassy employee on bail,http://www.ft.lk/front-page/Swiss-authorities-welcome-release-of-embassy-employee-on-bail/44-692779
Daily FT,2020-01-01,2020 heralds salary boon for public servants,http://www.ft.lk/front-page/2020-heralds-salary-boon-for-public-servants/44-692777
Daily FT,2020-01-01,"CICT ends 2019 with 2.9 m TEUs, 40% of Colombo Port’s volume",http://www.ft.lk/front-page/CICT-ends-2019-with-2-9-m-TEUs-40-of-Colombo-Port-s-volume/44-692775
Daily FT,2020-01-01,Tourism industry closes ‘crisis year’ 2019 with less than 1.9 m arrivals,http://www.ft.lk/front-page/Tourism-industry-closes-crisis-year-2019-with-less-than-1-9-m-arrivals/44-692773
Daily Mirror,2020-01-02,Fmr. SPC chairman  remanded till Jan.6,http://www.dailymirror.lk/print/front_page/Fmr-SPC-chairman-remanded-till-Jan-6/238-180482
