Source,Scraped,Headline,Link
Daily FT,2020-01-01,Nationalism versus solidarity,http://www.ft.lk/opinion/Nationalism-versus-solidarity/14-692709
Daily Mirror,2020-01-01,New Year Reflections,http://www.dailymirror.lk/opinion/New-Year-Reflections/172-180463
Daily Mirror,2020-01-01,A DECADE ENDS; ANOTHER BEGINS,http://www.dailymirror.lk/opinion/A-DECADE-ENDS-ANOTHER-BEGINS/172-180462
Daily Mirror,2020-01-01,Disaster management agencies play catch up  on social media,http://www.dailymirror.lk/opinion/Disaster-management-agencies-play-catch-up-on-social-media/172-180461
Daily Mirror,2020-01-01,2020 – The decade for conscious living and a year for tolerance,http://www.dailymirror.lk/opinion/2020-The-decade-for-conscious-living-and-a-year-for-tolerance/172-180460
Daily FT,2020-01-02,Infrastructure: Enabling economic growth,http://www.ft.lk/opinion/Infrastructure-Enabling-economic-growth/14-692819
Daily FT,2020-01-02,Vignarajah writes to GR on uplifting Sri Lanka,http://www.ft.lk/opinion/Vignarajah-writes-to-GR-on-uplifting-Sri-Lanka/14-692818
Daily FT,2020-01-02,Uber gone mad!,http://www.ft.lk/opinion/Uber-gone-mad/14-692817
Daily FT,2020-01-02,Strategy dialogue: The role of the board of directors,http://www.ft.lk/columns/Strategy-dialogue-The-role-of-the-board-of-directors/4-692815
Daily FT,2020-01-02,The Rule of Law in Sri Lanka: Gania Banister Francis and British woman in Cyprus,http://www.ft.lk/columns/The-Rule-of-Law-in-Sri-Lanka-Gania-Banister-Francis-and-British-woman-in-Cyprus/4-692814
Daily FT,2020-01-02,The truth about disharmony and discrimination,http://www.ft.lk/columns/The-truth-about-disharmony-and-discrimination/4-692813
Daily FT,2020-01-02,Sharing from South Korea with care,http://www.ft.lk/columns/Sharing-from-South-Korea-with-care/4-692812
Daily FT,2020-01-02,Twenty thoughts for  a terrific 2020:  Essentials for excellence,http://www.ft.lk/columns/Twenty-thoughts-for-a-terrific-2020-Essentials-for-excellence/4-692732
Daily FT,2020-01-02,SOEs: Do they have the right objectives?,http://www.ft.lk/columns/SOEs-Do-they-have-the-right-objectives/4-692708
Daily FT,2020-01-02,She is more than dollars!,http://www.ft.lk/columns/She-is-more-than-dollars/4-692737
Daily FT,2020-01-02,A proper mix for economic prosperity,http://www.ft.lk/columns/A-proper-mix-for-economic-prosperity/4-692731
Daily FT,2020-01-02,How do we make this country ‘paradise’ again?,http://www.ft.lk/columns/How-do-we-make-this-country-paradise-again/4-692730
Daily Mirror,2020-01-02,A long road for Human Rights,http://www.dailymirror.lk/news-features/A-long-road-for-Human-Rights/131-180418
Colombo Telegraph,2020-01-02,Development & Devolution Can Go Together,https://www.colombotelegraph.com/index.php/development-devolution-can-go-together/
Colombo Telegraph,2020-01-02,New Year Reflections,https://www.colombotelegraph.com/index.php/new-year-reflections/
Colombo Telegraph,2020-01-02,Gota’s Vision & Gautama’s Villains,https://www.colombotelegraph.com/index.php/gotas-vision-gautamas-villains/
Colombo Telegraph,2020-01-02,Prevent An MR-GR 2/3rd Majority In Next Election,https://www.colombotelegraph.com/index.php/prevent-an-mr-gr-2-3rd-majority-in-next-election/
Daily FT,2020-01-03,A. Sarath de Silva: The development banking colossus of our times,http://www.ft.lk/opinion/A-Sarath-de-Silva-The-development-banking-colossus-of-our-times/14-692883
Daily FT,2020-01-03,Facts and fallacies of Muslim population in Sri Lanka,http://www.ft.lk/opinion/Facts-and-fallacies-of-Muslim-population-in-Sri-Lanka/14-692886
Daily FT,2020-01-03,A letter to the President,http://www.ft.lk/opinion/A-letter-to-the-President/14-692889
Daily Mirror,2020-01-03,"2020: Wishing for peace, but power politics makes it wishful thinking",http://www.dailymirror.lk/opinion/2020-Wishing-for-peace-but-power-politics-makes-it-wishful-thinking/172-180609
Daily Mirror,2020-01-03,Prez reaches out  to LG members in view of General Elections,http://www.dailymirror.lk/opinion/Prez-reaches-out-to-LG-members-in-view-of-General-Elections/172-180535
Daily Mirror,2020-01-03,Ambitious  Sri Lanka  sees China on the Horizon,http://www.dailymirror.lk/opinion/Ambitious-Sri-Lanka-sees-China-on-the-Horizon/172-180533
Daily Mirror,2020-01-03,Sickness: A Politician’s Preserve?,http://www.dailymirror.lk/opinion/Sickness-A-Politicians-Preserve/172-180532
Daily Mirror,2020-01-03,Make good use of New Year’s  365-day gift pack,http://www.dailymirror.lk/opinion/Make-good-use-of-New-Years-365-day-gift-pack/172-180531
Colombo Telegraph,2020-01-03,Hatton National Bank & Central Bank Must Come Clean On “Grand Tax Evasion” Allegation,https://www.colombotelegraph.com/index.php/hatton-national-bank-central-bank-must-come-clean-on-grand-tax-evasion-allegation/
Colombo Telegraph,2020-01-03,The Rule Of Law In Sri Lanka: Gania Banister Francis & British Woman In Cyprus,https://www.colombotelegraph.com/index.php/the-rule-of-law-in-sri-lanka-gania-banister-francis-british-woman-in-cyprus/
Colombo Telegraph,2020-01-03,The Politics Of SOGIESC In Sri Lanka: A Year-End Reflection,https://www.colombotelegraph.com/index.php/the-politics-of-sogiesc-in-sri-lanka-a-year-end-reflection/
The Island,2020-01-03,Editor’s New Year wish - a response,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216409
The Island,2020-01-03,Unholy slapping,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216410
Daily FT,2020-01-04,President outlines vision for Sri Lanka in Parliament,http://www.ft.lk/opinion/President-outlines-vision-for-Sri-Lanka-in-Parliament/14-692980
Daily FT,2020-01-04,Dirty little secret: The enslaved hands behind the clean wheel,http://www.ft.lk/opinion/Dirty-little-secret-The-enslaved-hands-behind-the-clean-wheel/14-692971
Daily FT,2020-01-04,CEMSL calls upon Government to abolish MMDA and establish only one law for all,http://www.ft.lk/opinion/CEMSL-calls-upon-Government-to-abolish-MMDA-and-establish-only-one-law-for-all/14-692972
Daily FT,2020-01-04,A new ‘sun of righteousness’ over a ‘thrice-blessed isle’?,http://www.ft.lk/columns/A-new-sun-of-righteousness-over-a-thrice-blessed-isle/4-692888
Daily FT,2020-01-04,Turning disaster into a blessing,http://www.ft.lk/columns/Turning-disaster-into-a-blessing/4-692887
Daily FT,2020-01-04,Gota’s vision and Gautama’s villains,http://www.ft.lk/columns/Gota-s-vision-and-Gautama-s-villains/4-692884
Daily FT,2020-01-04,"Of waists, hips, coffee and grunts!",http://www.ft.lk/columns/Of-waists-hips-coffee-and-grunts/4-692885
Daily Mirror,2020-01-04,Past under Mahinda resurfacing under Gota,http://www.dailymirror.lk/opinion/Past-under-Mahinda-resurfacing-under-Gota/172-180733
Daily Mirror,2020-01-04,Education: The answer in this era of ‘truth decay’,http://www.dailymirror.lk/opinion/Education-The-answer-in-this-era-of-truth-decay/172-180731
Daily Mirror,2020-01-04,3rd death Anniversary of  Judge C.G. Weeramantry,http://www.dailymirror.lk/opinion/3rd-death-Anniversary-of-Judge-C-G-Weeramantry/172-180732
Daily Mirror,2020-01-04,Development strategy for Sri Lanka,http://www.dailymirror.lk/opinion/Development-strategy-for-Sri-Lanka/172-180624
Daily Mirror,2020-01-04,UNP’s suicidal politics,http://www.dailymirror.lk/opinion/UNPs-suicidal-politics/172-180622
Daily Mirror,2020-01-04,WHEN CONSERVATISM GETS IN THE WAY OF SEX EDUCATION Comprehensive Sexuality Education in SL,http://www.dailymirror.lk/news-features/WHEN-CONSERVATISM-GETS-IN-THE-WAY-OF-SEX-EDUCATION-Comprehensive-Sexuality-Education-in-SL/131-180620
Colombo Telegraph,2020-01-04,University Admission: Do Not Rush Changes – Follow The Proper Procedure,https://www.colombotelegraph.com/index.php/university-admission-do-not-rush-changes-follow-the-proper-procedure/
Colombo Telegraph,2020-01-04,The Green Mafia,https://www.colombotelegraph.com/index.php/the-green-mafia/
Colombo Telegraph,2020-01-05,The 2010s: Social Media Decade Of Populism & Protest,https://www.colombotelegraph.com/index.php/the-2010s-social-media-decade-of-populism-protest/
Colombo Telegraph,2020-01-05,Do You Want A Peek Into Sexy Technology?,https://www.colombotelegraph.com/index.php/do-you-want-a-peek-into-sexy-technology/
Colombo Telegraph,2020-01-05,Change Of Guard At London High Commission,https://www.colombotelegraph.com/index.php/change-of-guard-at-london-high-commission/
Sunday Observer,2020-01-05,NO CLICHÉ: The old order changeth,http://www.sundayobserver.lk/2020/01/05/opinion/no-clich%C3%A9-old-order-changeth
Sunday Observer,2020-01-05,"President Gatabaya Rajapaksa’s Policy Statement delivered in Parliament on Friday, January 3, 2020",http://www.sundayobserver.lk/2020/01/05/opinion/president-gatabaya-rajapaksa%E2%80%99s-policy-statement-delivered-parliament-friday
