Source,Scraped,Headline,Link
SMH,2020/01/01,Race-by-race preview and tips for Randwick races on Wednesday,https://www.smh.com.au/sport/racing/race-by-race-preview-and-tips-for-randwick-races-on-wednesday-20191231-p53nws.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/01,Yumi an appetising prospect for Snowden at Randwick,https://www.smh.com.au/sport/racing/yumi-an-appetising-prospect-for-snowden-at-randwick-20191231-p53nvb.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/01,Take a look: a guide to the inaugural ATP Cup,https://www.smh.com.au/sport/tennis/take-a-look-a-guide-to-the-inaugural-atp-cup-20191228-p53nbf.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/01,Decade in review: From magical milestones to scandalous allegations,https://www.smh.com.au/sport/racing/decade-in-review-from-magical-milestones-to-scandalous-allegations-20191220-p53lxa.html?ref=rss&utm_medium=rss&utm_source=rss_sport
BBC Sport,2020/01/01,Brighton 1-1 Chelsea: Alireza Jahanbakhsh's stunning effort earns Seagulls point,http://www.bbc.co.uk/sport/football/50908733
BBC Sport,2020/01/01,Burnley 1-2 Aston Villa: Villa move out of relegation zone,http://www.bbc.co.uk/sport/football/50908730
BBC Sport,2020/01/01,Millwall v Luton opens new decade in EFL,http://www.bbc.co.uk/sport/live/football/50496204
BBC Sport,2020/01/01,England in South Africa: Jofra Archer an injury doubt for Cape Town Test,http://www.bbc.co.uk/sport/cricket/50964206
BBC Sport,2020/01/01,Fallon Sherrock wins take darts global - Barry Hearn,http://www.bbc.co.uk/sport/darts/50964524
BBC Sport,2020/01/01,Premier League team news and build-up - nine New Years Day matches,http://www.bbc.co.uk/sport/live/football/50238204
BBC Sport,2020/01/01,Ben Stokes: England all-rounder would 'swap' World Cup-winning year for father's health,http://www.bbc.co.uk/sport/cricket/50964381
BBC Sport,2020/01/01,A game-changing decade for women's sport,http://www.bbc.co.uk/sport/50879069
BBC Sport,2020/01/01,ATP Cup: Rafael Nadal & Novak Djokovic in action at new event in Australia,http://www.bbc.co.uk/sport/tennis/50764813
Cricinfo,2020/01/01,Tim Paine is 'almost our most important player' - Justin Langer,http://www.espncricinfo.com/ci/content/story/1211600.html?CMP=OTC-RSS
SMH,2020/01/02,Jahanbakhsh bicycle kick sees Brighton hold Chelsea to draw,https://www.smh.com.au/sport/soccer/jahanbakhsh-bicycle-kick-sees-brighton-hold-chelsea-to-draw-20200102-p53o79.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,We might beat the Kiwis at cricket but they win the self-confidence stakes,https://www.smh.com.au/sport/cricket/we-might-beat-the-kiwis-at-cricket-but-they-win-the-self-confidence-stakes-20200101-p53o0p.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,Seven-year itch spurs Kim Clijsters comeback,https://www.smh.com.au/sport/tennis/seven-year-itch-spurs-kim-clijsters-comeback-20200101-p53o5c.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,Tips and race-by-race preview for Taree on Thursday,https://www.smh.com.au/sport/racing/tips-and-race-by-race-preview-for-taree-on-thursday-20200101-p53o3u.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,Cricket plans Sydney Test bushfires tribute as Langer hopes for rain,https://www.smh.com.au/sport/cricket/cricket-plans-sydney-test-bushfires-tribute-as-langer-hopes-for-rain-20200101-p53o4t.html?ref=rss&utm_medium=rss&utm_source=rss_sport
The Guardian,2020/01/01,Australia and New Zealand focus on victims as bushfires threaten third Test,https://www.theguardian.com/sport/2020/jan/01/bushfire-smoke-likely-to-affect-play-in-australia-v-new-zealand-sydney-test
The Guardian,2020/01/01,'Ridiculous – I'm not a fan': four-day Tests plan meets player resistance,https://www.theguardian.com/sport/2020/jan/01/player-resistance-the-major-hurdle-to-crickets-proposed-four-day-tests
